airbnb_listing_id,url,ad_name,ad_description,space,house_rules,amenities,safety_features,number_of_bathrooms,number_of_bedrooms,number_of_beds,latitude_details,longitude_details,check_in,check_out,number_of_guests,number_of_reviews,cleaning_fee,owner_id,aquisition_date_details,star_rating,picture_count,min_nights,guest_satisfaction_overall,listing_type,can_instant_book,is_professional,accuracy_rating,checkin_rating,cleanliness_rating,communication_rating,location_rating,value_rating,is_new_listing,is_guest_favorite,latitude,longitude,suburb,country,state,city,aquisition_date_mesh,qtd_registros,qtd_datas_distintas,price_min,price_max,price_medio,price_mediano,primeiro_preco,ultimo_preco,acima_p99
1018938592594574382,https://www.airbnb.com.br/rooms/1018938592594574382,Apartamento em centro itapema,"Aconchegante, bem iluminado, poucos metros do mar,  lugar tranquilo e bem-localizado",,"[""Máximo de 4 hóspedes"", ""Não é permitido animais de estimação"", ""Horário de silêncio"", ""Não são permitidas festas ou eventos"", ""Proibido fumar""]","[""Chuveiro externo"", ""Máquina de lavar Gratuito"", ""Roupa de cama"", ""Varal para secar roupas"", ""Local para guardar as roupas: guarda-roupa"", ""HDTV"", ""Ar-condicionado split"", ""Ventilador de teto"", ""Wi-Fi"", ""Refrigerador"", ""Microondas"", ""Louças e talheres"", ""Fogão a gás Other"", ""Forno Normal"", ""Liquidificador"", ""Churrasqueira"", ""Estacionamento incluído"", ""O anfitrião recebe você""]","[""Alarme de monóxido de carbono não informado"", ""Detector de fumaça não informado""]",1.0,1,1,0.0,0.0,Check-in: 14:00 - 20:00,Checkout antes das 09:00,4,0,200.0,545255849,2025-01-13 02:58:38.000,0.0,0,0,0,apartamento,False,False,0.0,0.0,0.0,0.0,0.0,0.0,False,False,-27.09600067138672,-48.6150016784668,Centro,Brasil,Santa Catarina,Itapema,2023-12-04 19:02:52.456,,,,,,,,,
991407580891691701,https://www.airbnb.com.br/rooms/991407580891691701,Apto em otima localização em Meia Praia EIO6031,"Este espaçoso apto é perfeito para família ou grupos de amigos que desejam desfrutar de uma estadia confortável em uma ótima região na Meia Praia.<br /><br />Com localização privilegiada, você vai ficar a poucos metros da praia e também de restaurantes, mercados e bares.<br /><br />A sala de estar é ampla, varanda com churrasqueira, cozinha completa e bem equipada e os três quartos são confortáveis e perfeitos para repor o sono após a agitação do dia. Venha relaxar e curtir momentos inesquecíveis pertinho da praia.<br /><br />","<br />Para o conforto de nossos hóspedes, o imóvel possui:<br /><br />- Ambientes integrados, espaçosos e bem iluminados;<br />- 1 suíte com cama casal, ar-condicionado e armário;<br />- 1 demi-suíte com cama de casal, cômoda; ( nesse quarto tem uma porta para acesso ao banheiro social )<br />- 1 quarto com cama de casal, armário, cômoda e ar-condicionado;<br />- Sala de estar com sofá, poltrona, rack, TV, mesa de jantar com 6 lugares;<br /><br />- Varanda com churrasqueira e mesa;<br />- Cozinha completa com geladeira, fogão, micro-ondas, sanduicheira, liquidificador, chaleira elétrica, e demais utensílios;<br />- 1 banheiro social;<br />- Área de serviço com máquina de lavar e varal;<br />- Wi-fi 30mb disponível;<br />- 1 vaga de garagem coberta. (comporta caminhonete, tamanho 3x2)<br /><br /><br /><br />OBS: Informamos que há uma obra em andamento no prédio, sem previsão de término.<br /><br />* São disponibilizadas uma toalha de banho por hóspede e uma toalha de rosto por banheiro, além de lençóis para a quantidade de hóspedes indicada, trocas de enxoval podem ser solicitadas ao valor de meia taxa de limpeza.<br /><br />* A limpeza inclusa no valor é realizada somente no checkout. Se o hóspede desejar uma limpeza extra durante a estadia, será cobrada uma nova taxa de limpeza.<br /><br />IMPORTANTE: Para check-in após as 20h há cobrança adicional de taxa de conveniência, consulte valores e formas de pagamento com o anfitrião :)<br /><br />Venha, relaxe, divirta-se e não se preocupe com mais nada :)<br /><br />","[""Máximo de 6 hóspedes"", ""Não é permitido animais de estimação"", ""Horário de silêncio"", ""Não são permitidas festas ou eventos"", ""Não é permitido fotografia comercial"", ""Proibido fumar""]","[""Secador de cabelo"", ""Água quente"", ""Máquina de Lavar"", ""Básico"", ""Cabides"", ""Roupa de cama"", ""Ferro de passar"", ""Varal para secar roupas"", ""Local para guardar as roupas: guarda-roupa"", ""TV"", ""Ar-condicionado"", ""Wi-Fi"", ""Cozinha"", ""Refrigerador"", ""Microondas"", ""Louças e talheres"", ""Fogão"", ""Forno"", ""Cafeteira: cafeteira com coador"", ""Taças de vinho"", ""Torradeira"", ""Assadeira"", ""Liquidificador"", ""Mesa de jantar"", ""Acesso à praia compartilhado"", ""Pátio ou varanda (Privativa)"", ""Churrasqueira"", ""Estacionamento incluído"", ""Estacionamento gratuito na rua"", ""Elevador"", ""O anfitrião recebe você""]","[""Não há alarme de monóxido de carbono"", ""Não há alarme de fumaça""]",2.0,3,3,0.0,0.0,Check-in: 15:00 - 20:00,Checkout antes das 11:00,6,11,439.0,227777128,2025-01-13 02:58:40.000,4.550000190734863,29,0,4,apartamento,True,True,4.909999847412109,5.0,4.639999866485596,4.820000171661377,4.909999847412109,4.449999809265137,False,False,-27.131999969482425,-48.59999847412109,Meia Praia,Brasil,Santa Catarina,Itapema,2023-10-24 16:54:46.375,162.0,67.0,471.0,1210.0,683.7247944444445,627.0,616.0,1122.0,False
41074064,https://www.airbnb.com.br/rooms/41074064,"Paraíso do lazer, descanso e segurança","Linda e aconchegante casa em condomínio fechado na praia mais charmosa e familiar de Santa Catarina. Local totalmente seguro, com área verde, estrutura, conforto e diversão para toda a família. Em 10 minutos caminhando você esta no mar. Ar condicionado em todos os ambientes da casa. Perfeito para as férias mais incríveis da sua vida. Encante-se com as belezas de Santa Catarina!<br /><br />","<br />O hóspede pode usar todas as áreas do condomínio fechado: cancha de vôlei, futebol, churrasqueira, bocha, parque, deve apenas respeitar as regras de convivência do condomínio","[""Máximo de 7 hóspedes"", ""Permitido animais de estimação"", ""Não são permitidas festas ou eventos"", ""Proibido fumar""]","[""Secador de cabelo"", ""Água quente"", ""Máquina de Lavar"", ""Básico"", ""Cabides"", ""Ferro de passar"", ""TV"", ""Ar-condicionado"", ""Cozinha"", ""Refrigerador"", ""Microondas"", ""Itens básicos de cozinha"", ""Louças e talheres"", ""Forno"", ""Entrada privada"", ""Estacionamento incluído"", ""Permitido animais""]","[""Alarme de monóxido de carbono não informado"", ""Detector de fumaça não informado""]",2.0,3,4,0.0,0.0,Check-in após 14:00,Checkout antes das 12:00,7,6,180.0,321172190,2025-01-13 02:58:44.000,5.0,23,0,5,casa,True,False,4.829999923706055,4.5,5.0,5.0,4.829999923706055,5.0,False,False,-27.09503,-48.62802,Varzea,Brasil,Santa Catarina,Itapema,2024-10-07 19:05:17.279,,,,,,,,,
54177663,https://www.airbnb.com.br/rooms/54177663,Apartamento em meia praia,Na data da virada alugamos a partir de 7 dia,,"[""Máximo de 6 hóspedes"", ""Permitido animais de estimação"", ""É permitido fumar""]","[""Secador de cabelo"", ""Água quente"", ""Máquina de Lavar"", ""Básico"", ""Roupa de cama"", ""Cobertores e travesseiros extras"", ""Ferro de passar"", ""Varal para secar roupas"", ""Local para guardar as roupas"", ""Conexão à Ethernet"", ""HDTV com TV a cabo"", ""Ar-condicionado split"", ""Ventilador de teto"", ""Extintor de incêndio"", ""Wi-Fi"", ""Espaço de trabalho exclusivo"", ""Cozinha"", ""Refrigerador"", ""Microondas"", ""Itens básicos de cozinha"", ""Louças e talheres"", ""Freezer"", ""Fogão"", ""Forno"", ""Chaleira de água quente"", ""Torradeira"", ""Liquidificador"", ""Lixeira compactadora"", ""Utensílios para churrasco"", ""Mesa de jantar"", ""Acesso à praia (à beira-mar)"", ""Lavanderia nas proximidades"", ""Pátio ou varanda (Privativa)"", ""Móveis externos"", ""Área de jantar externa"", ""Churrasqueira"", ""Estacionamento incluído"", ""Estacionamento gratuito na rua"", ""Permitido animais"", ""Permitido fumar"", ""Self check-in"", ""Cofre de chaves""]","[""Alarme de monóxido de carbono não informado"", ""Detector de fumaça não informado""]",2.0,3,3,0.0,0.0,,,6,0,300.0,389650375,2025-01-13 02:58:45.000,0.0,0,0,0,apartamento,True,False,0.0,0.0,0.0,0.0,0.0,0.0,False,False,-27.13951,-48.59652,Meia Praia,Brasil,Santa Catarina,Itapema,2022-10-03 13:39:14.000,,,,,,,,,
51975323,https://www.airbnb.com.br/rooms/51975323,"3 Suítes, Belíssimo, 2 gar-Meia Praia - Itapema/SC","3 SUÍTES, BELÍSSIMO, MEIA PRAIA - TEMPORADA VERÃO<br />EXCELENTE LOCALIZAÇÃO.<br />PRÓXIMO AO SUPERMERCADO OFERTÃO.<br />PRÓXIMO CHURRASCARIA COSTELAÇO DO TONHO.<br />PERTINHO DA FECCAT FEIRA DE CALÇADOS.<br /><br />3 SUÍTES.<br />SUÍTES COM AR CONDICIONADO.<br />LIVING EM DOIS AMBIENTES.<br />LIVING INTEGRADO COM CHURRASQUEIRA.<br />COZINHA, LAVABO, ÁREA DE SERVIÇO.<br />2 VAGAS DE GARAGEM.<br />SUA FAMÍLIA MERECE O MELHOR.<br /><br /><b>Outras observações</b><br />• Nós queríamos ressaltar que, infelizmente, não fornecemos roupas de cama e banho para nossos hóspedes. Sugerimos que você traga seus próprios para maior conforto durante sua estadia. Se preferir, podemos indicar uma empresa que trabalha com aluguel desses itens durante sua hospedagem.<br /><br />• Não temos artigos de praia disponíveis para uso durante sua visita. Então, se você planeja passar um tempo na praia, traga seus próprios equipamentos.<br /><br />• Nossa eletricidade é fornecida em uma voltagem de 220W, então, se você planeja trazer aparelhos eletrônicos, verifique se eles são compatíveis antes de usá-los.<br /><br />Estou completamente disponível para esclarecer todas as suas dúvidas, tanto antes quanto durante a sua estadia",,"[""Máximo de 8 hóspedes""]","[""Máquina de Lavar"", ""Ferro de passar"", ""TV"", ""Ar-condicionado"", ""Extintor de incêndio"", ""Wi-Fi"", ""Espaço de trabalho exclusivo"", ""Cozinha"", ""Itens básicos de cozinha"", ""Entrada privada"", ""Estacionamento incluído"", ""Elevador""]","[""Alarme de monóxido de carbono não informado"", ""Detector de fumaça não informado""]",3.0,3,5,0.0,0.0,Check-in: 14:00 - 18:00,Checkout antes das 09:00,8,2,400.0,298545921,2025-01-13 02:58:33.000,4.5,30,0,4,apartamento,False,False,4.5,3.5,2.5,5.0,4.0,5.0,False,False,-27.13677,-48.59734,Meia Praia,Brasil,Santa Catarina,Itapema,2021-10-25 14:40:16.352,,,,,,,,,
1036307719150120163,https://www.airbnb.com.br/rooms/1036307719150120163,5366 Apto quadra mar 30 metros até a praia,"Suíte:<br /><br />01 Cama de casal<br /><br />01 Ar condicionado<br /><br />01 Guarda roupa<br /><br />Dormitório:<br /><br />01 Cama de casal<br /><br />01 Ar condicionado<br /><br />01 Guarda roupa<br /><br />Sala:<br /><br />01 TV<br /><br />02 Sofá cama<br /><br />Cozinha:<br /><br />01 Micro-ondas<br /><br />01 Geladeira<br /><br />01 Fogão<br /><br />Panelas, pratos, talheres, xícaras, copos e utensílios de cozinha.<br /><br />","<br />Condomínio restringe o barulho a partir as 22:00h às 07:00h, permitido somente 6 pessoas por apartamento.<br /><br />Não será aceito em hipótese alguma o aluguel do apartamento para o intuito de promover festas.<br /><br />","[""Máximo de 6 hóspedes"", ""Não é permitido animais de estimação"", ""Não são permitidas festas ou eventos"", ""Proibido fumar""]","[""Água quente"", ""Máquina de Lavar"", ""TV"", ""Ar-condicionado"", ""Wi-Fi"", ""Refrigerador"", ""Microondas"", ""Itens básicos de cozinha"", ""Fogão"", ""Churrasqueira"", ""Estacionamento incluído"", ""Elevador""]","[""Alarme de monóxido de carbono não informado"", ""Detector de fumaça não informado""]",2.0,2,4,0.0,0.0,Check-in: 15:00 - 18:00,Checkout antes das 10:00,6,1,460.0,40876651,2025-01-13 02:58:33.000,5.0,18,0,5,hotel,False,True,5.0,5.0,5.0,5.0,5.0,5.0,False,False,-27.131759643554688,-48.59782028198242,Meia Praia,Brasil,Santa Catarina,Itapema,2023-12-18 19:03:01.816,,,,,,,,,
41193865,https://www.airbnb.com.br/rooms/41193865,Apê 150m do mar. Com ar-condicionado.,"Apartamento aconchegante para até 7 pessoas, com 1 suíte equipada com ar-condicionado de 12.000 BTUs, 1 quarto com ar-condicionado de 9.000 BTUs e 1 quarto com ventilador de teto. <br /><br />Conta com banheiro, ampla cozinha integrada à lavanderia, sala de estar com smart TV, Wi-Fi e ventilador de teto. <br /><br />A varanda fechada em vidro possui churrasqueira, ideal para momentos de lazer. <br /><br />Perfeito para quem busca conforto e praticidade!<br /><br />","<br />Apartamento com 3 Quartos no Melhor Bairro de Itapema/SC!<br /><br />Este incrível apartamento combina espaço, conforto e praticidade em uma localização privilegiada.<br /><br />Destaques do Imóvel:<br /><br />Ampla sala para dois ambientes (estar e jantar), integrada à sacada com churrasqueira, ideal para momentos com amigos e família.<br /><br />Cozinha completa, equipada com eletrodomésticos modernos, e área de serviço ventilada com máquina de lavar e tanque.<br /><br />Suíte espaçosa com guarda-roupas, ar-condicionado split de 12.000 BTUs e banheiro privativo.<br /><br />Segundo quarto bem iluminado, com guarda-roupas e ar-condicionado de 9.000 BTUs.<br /><br />Terceiro quarto confortável, com guarda-roupas e ventilador de teto.<br /><br />Características Adicionais:<br /><br />3 quartos, sendo 1 suíte;<br /><br />1 banheiro social;<br /><br />Lavanderia integrada;<br /><br />Sacada ampla com churrasqueira;<br /><br />1 vaga de garagem coberta;<br /><br />Localização:<br /><br />Localizado no coração de Itapema, em um bairro tranquilo e estratégico, próximo ao Burger King, Mc Donald’s, Academia Wave, entre outros.<br /><br />Se você procura um imóvel aconchegante, funcional e bem localizado para morar ou investir, este é o lugar perfeito. Agende sua visita e encante-se!<br /><br />","[""Máximo de 7 hóspedes"", ""Não é permitido animais de estimação"", ""Horário de silêncio"", ""Não são permitidas festas ou eventos"", ""Não é permitido fotografia comercial"", ""Proibido fumar""]","[""Secador de cabelo"", ""Produtos de limpeza"", ""Máquina de Lavar"", ""Cabides"", ""Blackout nas cortinas"", ""Ferro de passar"", ""Varal para secar roupas"", ""Local para guardar as roupas: guarda-roupa"", ""TV"", ""Ar-condicionado split"", ""Ventilador de teto"", ""Detector de fumaça"", ""Alarme de monóxido de carbono"", ""Wi-Fi"", ""Cozinha"", ""Refrigerador"", ""Microondas"", ""Itens básicos de cozinha"", ""Louças e talheres"", ""Freezer"", ""Fogão"", ""Forno"", ""Torradeira"", ""Liquidificador"", ""Utensílios para churrasco"", ""Mesa de jantar"", ""Acesso à praia (à beira-mar)"", ""Entrada privada"", ""Lavanderia nas proximidades"", ""Móveis externos"", ""Churrasqueira: a carvão"", ""Estacionamento incluído"", ""Estacionamento gratuito na rua"", ""Elevador"", ""Estadias de longa duração são permitidas"", ""Self check-in"", ""Fechadura inteligente"", ""Limpeza disponível durante a estadia""]","[""Detector de monóxido de carbono instalado"", ""Detector de fumaça instalado""]",2.0,3,4,0.0,0.0,Check-in após 14:00,Checkout antes das 12:00,7,46,250.0,311642729,2025-01-13 02:58:33.000,4.71999979019165,29,0,4,apartamento,False,False,4.71999979019165,4.849999904632568,4.630000114440918,4.829999923706055,4.829999923706055,4.670000076293945,False,False,-27.13144,-48.60254,Meia Praia,Brasil,Santa Catarina,Itapema,2024-10-07 19:57:17.082,152.0,74.0,400.0,530.0,410.9046052631579,400.0,400.0,400.0,False
1225665671183261027,https://www.airbnb.com.br/rooms/1225665671183261027,Ap meia praia,Leve toda a família a este ótimo lugar com muito espaço para se divertir,,"[""Máximo de 6 hóspedes""]","[""Máquina de Lavar"", ""TV"", ""Ar-condicionado"", ""Wi-Fi"", ""Cozinha"", ""Estacionamento incluído""]","[""Alarme de monóxido de carbono não informado"", ""Detector de fumaça não informado""]",3.0,3,3,0.0,0.0,Check-in após 15:00,Checkout antes das 11:00,6,0,0.0,534678827,2025-01-13 02:58:50.000,0.0,0,0,0,apartamento,False,False,0.0,0.0,0.0,0.0,0.0,0.0,False,False,-27.1276689015598,-48.60777899622917,Meia Praia,Brasil,Santa Catarina,Itapema,2024-09-02 19:01:34.263,,,,,,,,,
45894423,https://www.airbnb.com.br/rooms/45894423,Apto vista lateral mar em prédio de frente à praia,"Quando a sua lateral é “simplesmente” o mar! Reserve seus dias no Edifício Summer Place, em frente à praia, praticamente beijando as ondas do mar. Apartamento de alto padrão completo para veranear com tranquilidade e conforto acima da média.<br /><br />","<br />O apartamento 305 do Summer Place possui mobília, equipamentos e está finamente decorado. Acomoda até 8 pessoas e possui:<br /><br />•	3 suítes (2 casal de cama box, sendo 1 com hidromassagem + 1 suíte de solteiro com 4 camas)<br />•	3 banheiros com chuveiro a gas<br />•	1 lavabo<br />•	Ampla cozinha americana com infraestrutura embutida<br />•	Living com sala de estar e sala de jantar<br />•	TV 42 Polegadas<br />•	Ar-condicionado tipo split<br />•	Lavanderia com máquina de lavar<br />•	Sacada gourmet com churrasqueira<br />•	2 vagas de garage","[""Máximo de 8 hóspedes"", ""Não é permitido animais de estimação"", ""Não são permitidas festas ou eventos"", ""Proibido fumar""]","[""Máquina de Lavar"", ""Cabides"", ""Ferro de passar"", ""TV"", ""Ar-condicionado"", ""Aquecimento"", ""Extintor de incêndio"", ""Wi-Fi"", ""Cozinha"", ""Entrada privada"", ""Estacionamento incluído""]","[""Alarme de monóxido de carbono não informado"", ""Detector de fumaça não informado""]",4.0,3,6,0.0,0.0,Check-in após 15:00,,8,1,300.0,82821456,2025-01-13 02:59:02.000,5.0,13,0,5,apartamento,False,False,3.0,5.0,5.0,5.0,5.0,4.0,False,False,-27.1043331236025,-48.6139001870963,Centro,Brasil,Santa Catarina,Itapema,2021-10-25 14:40:16.352,,,,,,,,,
21633529,https://www.airbnb.com.br/rooms/21633529,Casa em Itapema,"Casa  100 metros da praia, local próximo a farmácias, supermercados e padarias, próximo para a saída da BR 101 e a a 8 kms de Balneário Camboriú",,"[""Máximo de 6 hóspedes"", ""Permitido animais de estimação"", ""Não são permitidas festas ou eventos"", ""É permitido fumar""]","[""Máquina de Lavar"", ""Cabides"", ""Ferro de passar"", ""TV"", ""Ar-condicionado"", ""Wi-Fi"", ""Cozinha"", ""Entrada privada"", ""Estacionamento incluído"", ""Permitido animais"", ""Permitido fumar""]","[""Alarme de monóxido de carbono não informado"", ""Detector de fumaça não informado""]",2.0,3,3,0.0,0.0,Check-in após 15:00,,6,0,0.0,156933100,2025-01-13 02:58:06.000,0.0,17,0,0,casa,,,0.0,0.0,0.0,0.0,0.0,0.0,False,False,-27.0909500122,-48.6065788269,Canto da Praia,Brasil,Santa Catarina,Itapema,2023-06-26 19:08:57.000,,,,,,,,,
