perfil,q,b,preco_compra,diaria,ocupacao,diarias_mes,receita_mensal,receita_anual,condo_anual,iptu_anual,cleaning_anual,comissao_anual,custos_anuais,lucro,roi,payback,qtd_viva,qtd_base,qtd_com_preco
2q Meia Praia,2,Meia Praia,1075000.0,460.0,0.4,12.0,5520.0,66240.0,6000.0,980.0,7200.0,9936.0,24116.0,42124.0,3.9185116279069767,25.51989364732694,244,723,187
2q Meia Praia,2,Meia Praia,1075000.0,460.0,0.6,18.0,8280.0,99360.0,6000.0,980.0,10800.0,14904.0,32684.0,66676.0,6.202418604651163,16.122742816005758,244,723,187
2q Meia Praia,2,Meia Praia,1075000.0,460.0,0.8,24.0,11040.0,132480.0,6000.0,980.0,14400.0,19872.0,41252.0,91228.0,8.486325581395349,11.783662910509932,244,723,187
3q Meia Praia,3,Meia Praia,1884860.0,700.0,0.4,12.0,8400.0,100800.0,7200.0,1500.0,8640.0,15120.0,32460.0,68340.0,3.625733476226351,27.580626280362893,1704,1451,327
3q Meia Praia,3,Meia Praia,1884860.0,700.0,0.6,18.0,12600.0,151200.0,7200.0,1500.0,12960.0,22680.0,44340.0,106860.0,5.669386585741116,17.63859255100131,1704,1451,327
3q Meia Praia,3,Meia Praia,1884860.0,700.0,0.8,24.0,16800.0,201600.0,7200.0,1500.0,17280.0,30240.0,56220.0,145380.0,7.7130396952558815,12.965057091759526,1704,1451,327
4q Meia Praia,4,Meia Praia,3600000.0,1075.0,0.4,12.0,12900.0,154800.0,11310.0,3000.0,10080.0,23220.0,47610.0,107190.0,2.9775,33.58522250209908,1327,286,60
4q Meia Praia,4,Meia Praia,3600000.0,1075.0,0.6,18.0,19350.0,232200.0,11310.0,3000.0,15120.000000000002,34830.0,64260.0,167940.0,4.665,21.436227224008576,1327,286,60
4q Meia Praia,4,Meia Praia,3600000.0,1075.0,0.8,24.0,25800.0,309600.0,11310.0,3000.0,20160.0,46440.0,80910.0,228690.0,6.3525,15.741833923652106,1327,286,60
2q Centro,2,Centro,1150000.0,580.0,0.4,12.0,6960.0,83520.0,6000.0,1000.0,6912.0,12528.0,26440.0,57080.0,4.963478260869565,20.147161878065873,89,183,65
2q Centro,2,Centro,1150000.0,580.0,0.6,18.0,10440.0,125280.0,6000.0,1000.0,10368.0,18792.0,36160.0,89120.0,7.7495652173913046,12.90394973070018,89,183,65
2q Centro,2,Centro,1150000.0,580.0,0.8,24.0,13920.0,167040.0,6000.0,1000.0,13824.0,25056.0,45880.0,121160.0,10.535652173913043,9.491581379993397,89,183,65
3q Centro,3,Centro,2100000.0,790.0,0.4,12.0,9480.0,113760.0,7404.0,1300.0,8064.0,17064.0,33832.0,79928.0,3.806095238095238,26.273646281653487,438,211,45
3q Centro,3,Centro,2100000.0,790.0,0.6,18.0,14220.0,170640.0,7404.0,1300.0,12096.0,25596.0,46396.0,124244.0,5.916380952380952,16.902224654711695,438,211,45
3q Centro,3,Centro,2100000.0,790.0,0.8,24.0,18960.0,227520.0,7404.0,1300.0,16128.0,34128.0,58960.0,168560.0,8.026666666666667,12.458471760797343,438,211,45
