nivel,bairro,qtd_venda_apto,preco_compra_med,qtd_airbnb,com_preco,cobertura,diaria_med,receita_40_mes,receita_60_mes,receita_80_mes,receita_60_ano,perfil
bairro,Meia Praia,3414,2306900.0,2602,607,23.328209069946197,600.0,7200.0,10800.0,14400.0,129600.0,
bairro,Centro,985,2600000.0,548,193,35.21897810218978,586.6667,7040.000400000001,10560.0006,14080.000800000002,126720.0072,
bairro,Morretes,1307,797000.0,318,68,21.38364779874214,500.0,6000.0,9000.0,12000.0,108000.0,
bairro,Tabuleiro Dos Oliveiras,122,792737.0,99,17,17.17171717171717,610.0,7320.0,10980.0,14640.0,131760.0,
bairro,Casa Branca,27,698000.0,63,13,20.634920634920633,350.0,4200.0,6300.0,8400.0,75600.0,
bairro,Alto Sao Bento,0,,29,3,10.344827586206897,199.0,2388.0,3582.0,4776.0,42984.0,
bairro,Ilhota,28,2684942.5,22,5,22.727272727272727,500.0,6000.0,9000.0,12000.0,108000.0,
bairro,Varzea,33,650000.0,6,0,0.0,,,,,,
bairro,Canto Da Praia,103,1690000.0,9,5,55.55555555555556,500.0,6000.0,9000.0,12000.0,108000.0,
bairro,Alto São Bento,35,618710.0,0,0,0.0,,,,,,
bairro,Andorinha,759,1799890.0,0,0,0.0,,,,,,
bairro,Jardim Praia Mar,103,725000.0,0,0,0.0,,,,,,
bairro,Castelo Branco,496,1699050.0,0,0,0.0,,,,,,
bairro,Sertão Do Trombudo,12,849000.0,0,0,0.0,,,,,,
2q,Meia Praia,244,1075000.0,723,187,25.864453665283545,460.0,5520.0,8280.0,11040.0,99360.0,2q Meia Praia
3q,Meia Praia,1704,1884860.0,1451,327,22.53618194348725,700.0,8400.0,12600.0,16800.0,151200.0,3q Meia Praia
4q,Meia Praia,1327,3600000.0,286,60,20.97902097902098,1075.0,12900.0,19350.0,25800.0,232200.0,4q Meia Praia
2q,Centro,89,1150000.0,183,65,35.51912568306011,580.0,6960.0,10440.0,13920.0,125280.0,2q Centro
3q,Centro,438,2100000.0,211,45,21.32701421800948,790.0,9480.0,14220.0,18960.0,170640.0,3q Centro
4q,Centro,401,3700000.0,32,4,12.5,820.0,9840.0,14760.0,19680.0,177120.0,4q Centro
2q,Morretes,1044,790000.0,229,51,22.270742358078603,498.0,5976.0,8964.0,11952.0,107568.0,2q Morretes
3q,Morretes,155,845000.0,59,10,16.94915254237288,635.0,7620.0,11430.0,15240.0,137160.0,3q Morretes
4q,Morretes,57,6101328.0,12,3,25.0,1000.0,12000.0,18000.0,24000.0,216000.0,4q Morretes
2q,Tabuleiro Dos Oliveiras,106,781919.5,74,12,16.216216216216218,440.875,5290.5,7935.75,10581.0,95229.0,2q Tabuleiro Dos Oliveiras
3q,Tabuleiro Dos Oliveiras,14,830000.0,19,4,21.052631578947366,640.0,7680.0,11520.0,15360.0,138240.0,3q Tabuleiro Dos Oliveiras
2q,Casa Branca,20,655000.0,53,11,20.754716981132077,350.0,4200.0,6300.0,8400.0,75600.0,2q Casa Branca
3q,Casa Branca,7,778000.0,5,2,40.0,403.0,4836.0,7254.0,9672.0,87048.0,3q Casa Branca
2q,Alto Sao Bento,0,,21,1,4.761904761904762,199.0,2388.0,3582.0,4776.0,42984.0,2q Alto Sao Bento
2q,Ilhota,0,,8,2,25.0,587.5,7050.0,10575.0,14100.0,126900.0,2q Ilhota
3q,Ilhota,4,2025000.0,7,1,14.285714285714285,500.0,6000.0,9000.0,12000.0,108000.0,3q Ilhota
4q,Ilhota,19,2845125.0,0,0,0.0,,,,,,4q Ilhota
2q,Varzea,30,644900.0,3,0,0.0,,,,,,2q Varzea
2q,Canto Da Praia,14,1221806.5,7,4,57.14285714285714,509.0,6108.0,9162.0,12216.0,109944.0,2q Canto Da Praia
3q,Canto Da Praia,66,1769930.0,1,1,100.0,300.0,3600.0,5400.0,7200.0,64800.0,3q Canto Da Praia
4q,Canto Da Praia,14,4874765.0,0,0,0.0,,,,,,4q Canto Da Praia
2q,Alto São Bento,35,618710.0,0,0,0.0,,,,,,2q Alto São Bento
2q,Andorinha,69,970000.0,0,0,0.0,,,,,,2q Andorinha
3q,Andorinha,473,1700000.0,0,0,0.0,,,,,,3q Andorinha
4q,Andorinha,196,2750000.0,0,0,0.0,,,,,,4q Andorinha
2q,Jardim Praia Mar,88,729990.5,0,0,0.0,,,,,,2q Jardim Praia Mar
3q,Jardim Praia Mar,8,702191.0,0,0,0.0,,,,,,3q Jardim Praia Mar
2q,Castelo Branco,60,1055000.0,0,0,0.0,,,,,,2q Castelo Branco
3q,Castelo Branco,299,1679750.0,0,0,0.0,,,,,,3q Castelo Branco
4q,Castelo Branco,131,2500000.0,0,0,0.0,,,,,,4q Castelo Branco
2q,Sertão Do Trombudo,7,680000.0,0,0,0.0,,,,,,2q Sertão Do Trombudo
